Title,Link,Location,Cost,StartDate,EndDate,NumericalDate,Image,Poster,Description,Preview,Longitude,Latitude
Hopscotch Festival,https://www.todocanada.ca/city/vancouver/event/hopscotch-festival/,2901 E Hastings St Vancouver,Price: $30 to $49 ,November 25 2022,November 26 2022,20221126,https://www.todocanada.ca/wp-content/uploads/HOP-250x165.png,https://www.todocanada.ca/wp-content/uploads/HOP.png,fter taking a short forced pandemic break this 27 year old festival returns to showcase over 250 different varieties of Scotch and other Whisky Tequila Rum Gin Vodka Cider Premium and Craft Beer Wine and Food. It is a paradise for those looking to taste. Live music will be entertaining you throughout the night while you sip taste learn laugh and schmooze.,fter taking a short forced pandemic break this 27 year old festival returns to s...,-123.0423499,49.2830614
Lumière Vancouver,https://www.todocanada.ca/city/vancouver/event/lumiere/,Various Venues Vancouver,Price: Free,November 17 2022,November 27 2022,20221127,https://www.todocanada.ca/wp-content/uploads/Lumiere-Logo-Final-250x165.jpg,https://www.todocanada.ca/wp-content/uploads/Lumiere-Logo-Final.jpg,Lumière Vancouver returns to set the city’s downtown and West End neighbourhoods aglow in spectacular fashion.,Lumière Vancouver returns to set the city’s downtown and West End neighbourhoods...,null,null
IndieFest 2022,https://www.todocanada.ca/city/vancouver/event/indiefest-a-musical-gathering/,Various venues Vancouver,Price: Varies,November 16 2022,November 27 2022,20221127,https://www.todocanada.ca/wp-content/uploads/indiefest-2022-250x165.png,https://www.todocanada.ca/wp-content/uploads/indiefest-2022.png,From modern opera new music and Indigenous performances to drag theatre and extended reality the festival empowers marginalized artists to change the narrative and reimagine the future of storytelling.,From modern opera new music and Indigenous performances to drag theatre and exte...,null,null
Lights at Lafarge,https://www.todocanada.ca/city/vancouver/event/lights-at-lafarge/,1299 Pinetree Way Coquitlam,Price: Free,November 26 2022,January 2 2023,20230102,https://www.todocanada.ca/wp-content/uploads/lights-lafarge-250x165.jpg,https://www.todocanada.ca/wp-content/uploads/lights-lafarge-855x502.jpg,The dazzling light displays that encircle the 1.2 km Lafarge Lake loop will be on at dusk. Lace up your walking shoes (or slip on your rain boots) and embark on the 1.2 km lake loop.,The dazzling light displays that encircle the 1.2 km Lafarge Lake loop will be o...,-122.7879551,49.2950284
Heritage Christmas,https://www.todocanada.ca/city/vancouver/event/heritage-christmas/,6501 Deer Lake Avenue Burnaby,Price: Free,November 26 2022,January 2 2023,20230102,https://www.todocanada.ca/wp-content/uploads/15284129_1526619200685346_4058518239991097573_n-250x165.jpg,https://www.todocanada.ca/wp-content/uploads/15284129_1526619200685346_4058518239991097573_n.jpg,Come experience Heritage Christmas presented by Concord Pacific at Burnaby Village Museum. Enjoy the special atmosphere of festive lights and the traditional decorations.,Come experience Heritage Christmas presented by Concord Pacific at Burnaby Villa...,-122.96688218943757,49.23992425
North Pole Express,https://www.todocanada.ca/city/vancouver/event/polar-express-train-ride/,West Coast Railway Heritage Park 39645 Government Road Squamish,Price: $80 to $126 for 2,November 26 2022,December 18 2022,20221218,https://www.todocanada.ca/wp-content/uploads/Railway-Museum-of-British-Columbia-250x165.png,https://www.todocanada.ca/wp-content/uploads/Railway-Museum-of-British-Columbia.png,Come along on this exciting and immersive adventure to meet Santa Claus at the North Pole. Your journey begins at the Candyland Station where Hot Chocolate flows like a river and you are sure to bump into a few unique characters!,Come along on this exciting and immersive adventure to meet Santa Claus at the N...,-123.1597256688272,49.728784000000005
Glow Maple Ridge,https://www.todocanada.ca/city/vancouver/event/glow-maple-ridge/,Memorial Peace Park and Maple Ridge city centre,Price: Free,November 26 2022,January 6 2023,20230106,https://www.todocanada.ca/wp-content/uploads/carousel-1-250x165.jpg,https://www.todocanada.ca/wp-content/uploads/carousel-1-855x570.jpg,Maple Ridge has a long tradition of making our streets glow with lights and holiday cheer during the winter time. From the iconic red bells to the beautiful storefront displays Maple Ridge is a magical place to be during the winter holidays.,Maple Ridge has a long tradition of making our streets glow with lights and holi...,null,null
Santa In The Country,https://www.todocanada.ca/city/vancouver/event/santa-in-the-country-2/,4557 Mount Lehman Road Abbotsford,Price: Free,November 26 2022,November 26 2022,20221126,https://www.todocanada.ca/wp-content/uploads/Santa-in-the-Country-Facebook-Cover-copy-250x165.png,https://www.todocanada.ca/wp-content/uploads/Santa-in-the-Country-Facebook-Cover-copy-855x570.png,What could be better than Santa in the country? Take your loved ones picture with Santa amid the hay bales and charm of the rolling hills of Mt Lehman in Abbotsford. It’s closer than you think! Stick around and treat yourselves to a steaming cup of hot chocolate and popcorn as you enjoy the sights and sounds of the country! This free event is at Glenda’s Christmas Cottage ( If you have never been before this little gem of a Christmas Store is a must visit every season).,What could be better than Santa in the country? Take your loved ones picture wit...,-122.3835057,49.125858
Super Saturday – Wood Wide Web,https://www.todocanada.ca/city/vancouver/event/super-saturday-wood-wide-web/,Fraser River Discovery Centre 788 Quayside Drive New Westminster,Price: Free to $15,November 26 2022,November 26 2022,20221126,https://www.todocanada.ca/wp-content/uploads/rsz_susa_poster_master-250x165.png,https://www.todocanada.ca/wp-content/uploads/rsz_susa_poster_master.png,Taking place on the last Saturday of each month Super Saturdays is a series of public programs geared toward families. There are many activities that explore different features of the Fraser River!,Taking place on the last Saturday of each month Super Saturdays is a series of p...,-122.9102069,49.2004517
VanDusen Festival of Lights,https://www.todocanada.ca/city/vancouver/event/vandusen-festival-lights/,VanDusen Botanical Garden 5251 Oak Street Vancouver,Price: $11to $21,November 25 2022,January 2 2023,20230102,https://www.todocanada.ca/wp-content/uploads/vandusen-botanical-garden-250x165.jpg,https://www.todocanada.ca/wp-content/uploads/vandusen-botanical-garden-855x540.jpg,Bundle up and bring the family to your favourite winter festival where the joy and magical moments of the holidays.,Bundle up and bring the family to your favourite winter festival where the joy a...,-123.13259317245402,49.23961905
